Time,Bitcoin_SVI,Cryptocurrecy_SVI
2020-08-09,6.12,6.2
2020-08-08,4.52,4.92
2020-08-07,5.29,4.92
2020-08-06,5.94,5.24
2020-08-05,5.42,5.16
2020-08-04,5.16,5.16
2020-08-03,5.68,5.56
2020-08-02,6.84,6.2
2020-08-01,11.13,7.02
2020-07-31,9.03,5.49
2020-07-30,8.82,5.22
2020-07-29,9.87,5.76
2020-07-28,12.6,6.12
2020-07-27,11.76,6.03
2020-07-26,7.56,5.58
2020-07-25,5.46,5.46
2020-07-24,5.46,5.26
2020-07-23,5.85,5.66
2020-07-22,4.88,5.46
2020-07-21,5.07,5.26
2020-07-20,4.29,4.96
2020-07-19,4.68,4.96
2020-07-18,5.58,9.51
2020-07-17,3.81,5.16
2020-07-16,5.58,5.56
2020-07-15,4.5,5.56
2020-07-14,3.68,5.56
2020-07-13,3.41,5.36
2020-07-12,3.13,4.96
2020-07-11,4.32,5.04
2020-07-10,4.51,4.94
2020-07-09,4.88,5.75
2020-07-08,5.26,6.35
2020-07-07,4.7,5.14
2020-07-06,4.88,4.64
2020-07-05,4.32,4.34
2020-07-04,3.81,3.64
2020-07-03,3.99,3.47
2020-07-02,4.51,3.64
2020-07-01,4.33,3.47
2020-06-30,4.68,3.47
2020-06-29,4.68,3.47
2020-06-28,4.68,3.72
2020-06-27,5.32,4.64
2020-06-26,5.74,5.45
2020-06-25,5.74,4.34
2020-06-24,5.96,4.74
2020-06-23,6.38,4.74
2020-06-22,6.17,4.74
2020-06-21,4.68,4.34
2020-06-20,4.49,3.47
2020-06-19,5.05,3.63
2020-06-18,5.24,3.72
2020-06-17,5.62,3.8
2020-06-16,5.99,3.63
2020-06-15,6.18,3.63
2020-06-14,4.68,3.72
2020-06-13,4.5,3.89
2020-06-12,5.94,4.07
2020-06-11,6.48,4.07
2020-06-10,5.94,4.34
2020-06-09,5.94,4.43
2020-06-08,5.94,4.25
2020-06-07,5.4,4.34
2020-06-06,5.04,4.07
2020-06-05,6.12,3.98
2020-06-04,6.3,4.43
2020-06-03,6.84,4.07
2020-06-02,8.64,4.61
2020-06-01,5.94,4.16
2020-05-31,5.76,4.34
2020-05-30,4.96,4.25
2020-05-29,5.6,3.91
2020-05-28,5.76,4.08
2020-05-27,5.92,4
2020-05-26,6.08,4.17
2020-05-25,6.56,4.34
2020-05-24,5.76,4.34
2020-05-23,5.04,3.78
2020-05-22,5.76,3.71
2020-05-21,6.34,3.78
2020-05-20,5.9,3.86
2020-05-19,5.9,3.86
2020-05-18,6.48,4.1
2020-05-17,6.48,4.34
2020-05-16,5.44,3.82
2020-05-15,6.2,3.61
2020-05-14,7.21,3.75
2020-05-13,7.08,3.75
2020-05-12,8.22,3.97
2020-05-11,11.38,4.04
2020-05-10,9.36,4.96
2020-05-09,10.62,5.51
2020-05-08,12.06,5.69
2020-05-07,10.98,5.23
2020-05-06,8.82,4.77
2020-05-05,7.92,4.59
2020-05-04,7.74,4.41
2020-05-03,8.28,4.96
2020-05-02,9.2,4.69
2020-05-01,9.8,4.78
2020-04-30,13.2,5.22
2020-04-29,11.2,5.05
2020-04-28,7.4,4.25
2020-04-27,7.6,4.25
2020-04-26,7.2,4.34
2020-04-25,6.28,4.89
2020-04-24,6.81,4.34
2020-04-23,6.63,4.34
2020-04-22,5.76,4.15
2020-04-21,5.93,4.06
2020-04-20,6.11,3.97
2020-04-19,5.76,4.34
2020-04-18,5.59,3.72
2020-04-17,6.11,3.72
2020-04-16,6.63,3.89
2020-04-15,5.93,3.63
2020-04-14,6.28,3.54
2020-04-13,6.63,3.8
2020-04-12,5.76,3.72
2020-04-11,7.11,4.88
2020-04-10,7.5,5.1
2020-04-09,6.91,5.1
2020-04-08,7.3,4.99
2020-04-07,8.29,5.1
2020-04-06,8.09,5.1
2020-04-05,6.12,4.34
2020-04-04,5.14,3.9
2020-04-03,5.76,3.63
2020-04-02,6.38,3.72
2020-04-01,5.29,3.72
2020-03-31,5.45,3.54
2020-03-30,5.92,3.63
2020-03-29,5.76,3.72
2020-03-28,6.06,3.9
2020-03-27,5.91,3.53
2020-03-26,6.22,3.62
2020-03-25,6.68,3.72
2020-03-24,7.62,4.09
2020-03-23,7.62,3.62
2020-03-22,6.84,3.72
2020-03-21,8.68,3.39
2020-03-20,10.04,3.56
2020-03-19,10.21,3.88
2020-03-18,9.53,3.31
2020-03-17,10.21,3.39
2020-03-16,12.25,3.8
2020-03-15,9.36,3.72
2020-03-14,20.06,5.06
2020-03-13,30.86,6.71
2020-03-12,22.83,6.2
2020-03-11,10.49,4.23
2020-03-10,12.34,4.44
2020-03-09,16.05,5.16
2020-03-08,8.02,4.34
2020-03-07,7.1,3.04
2020-03-06,8.95,3.33
2020-03-05,9.26,3.76
2020-03-04,8.64,4.34
