Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Close,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20220206.0,1428.4158529411766,194.4133436041083,0.16554622338935573,0.04985996171802055,0.10460556115779646,0.8455173464052288,41386.8,42655.0,41117.9,42394.8,230419046.4,0.01,0.01,0.01,12.6,26.64,891700.0,569036.0,219196.0
20220205.0,1428.4158529411766,194.4133436041083,0.16554622338935573,0.04985996171802055,0.10460556115779646,0.8455173464052288,41579.6,41920.0,40800.0,41386.8,251061235.2,0.01,0.01,0.01,14.98,29.18,951087.0,673249.0,258646.0
20220204.0,4564.5,682.5,0.2997,0.0,0.0785,0.9215,37320.9,41756.4,37032.0,41579.7,436101931.9,0.0,0.0,-0.01,14.4,27.23,885216.0,651781.0,247946.0
20220203.0,2992.0,491.75,0.08602499999999999,0.075,0.10225,0.82275,36889.7,37381.9,36249.1,37320.9,271055514.6,0.0,-0.01,0.0,13.82,27.88,931571.0,664854.0,265344.0
20220202.0,1257.5625,208.0,0.30600625000000004,0.0040625,0.1151875,0.88075,38693.3,38860.0,36576.0,36883.9,301579632.1,-0.01,0.0,0.01,13.54,30.47,954043.0,680004.0,278985.0
20220201.0,1236.0,161.8,0.10049999999999999,0.042300000000000004,0.11900000000000002,0.8387,38467.4,39286.0,38021.2,38693.4,342129854.9,-0.01,0.0,0.01,14.11,35.01,1058396.0,687763.0,272984.0
20220131.0,1533.5,186.75,0.33752499999999996,0.08399999999999999,0.17275000000000001,0.7435,37882.5,38739.0,36626.7,38467.3,333707039.6,0.01,0.01,-0.01,13.82,27.88,993797.0,671364.0,263410.0
20220130.0,62.0,13.0,0.8091,0.0,0.455,0.545,38179.7,38366.0,37350.0,37884.9,205231326.0,0.0,0.01,0.01,12.96,27.88,780477.0,553241.0,207173.0
20220129.0,2420.050132275132,347.9093915343915,0.3216495855379189,0.03469012345679012,0.1588467372134039,0.8064850970017637,37715.6,38723.1,37305.0,38179.6,271001519.9,0.0,0.0,0.01,11.84,24.84,800040.0,595231.0,231038.0
20220128.0,3114.875,508.375,0.23482499999999998,0.0215,0.15975,0.81875,37166.8,38006.0,36162.0,37715.6,436964893.7,-0.01,0.0,0.01,13.81,25.39,953545.0,680599.0,264609.0
20220127.0,1248.0,214.0,0.37296666666666667,0.014,0.14166666666666666,0.8443333333333333,36816.3,37259.0,35515.8,37166.8,421659694.2,0.0,0.0,-0.01,14.79,25.94,894323.0,648622.0,255925.0
20220126.0,4893.5,871.25,0.241575,0.0315,0.13175,0.83675,36958.1,38936.0,36217.9,36811.8,537828487.9,-0.01,0.0,0.0,16.52,29.25,872302.0,648504.0,261070.0
20220125.0,3361.5,543.5,0.28565,0.0235,0.0865,0.89,36669.3,37549.0,35703.8,36956.9,379085399.9,0.01,0.01,0.01,17.75,27.6,892344.0,653685.0,265128.0
20220124.0,4799.5,605.5,0.38820000000000005,0.1325,0.2765,0.591,36253.7,37557.3,32918.7,36675.4,623129340.2,0.0,0.0,0.01,23.67,33.12,967257.0,668850.0,270712.0
20220123.0,2683.0,176.0,0.42955,0.0,0.096,0.904,35064.9,36663.0,34600.8,36253.6,362422689.8,0.01,0.01,0.0,18.0,30.36,764279.0,554355.0,203986.0
20220122.0,4513.8,544.2,0.34194,0.0158,0.10539999999999998,0.8789999999999999,36454.8,36828.0,34011.4,35064.3,650337858.6,0.01,0.0,0.0,37.95,60.89,980566.0,662382.0,250294.0
20220121.0,468.0,72.0,0.6055,0.0,0.27749999999999997,0.7224999999999999,40680.9,41103.4,35420.0,36454.9,805123488.1,0.01,0.01,0.0,29.98,51.69,1017544.0,721363.0,272348.0
20220120.0,2012.4285714285713,327.42857142857144,0.2847571428571429,0.022,0.12942857142857142,0.8487142857142856,41665.9,43498.3,40563.2,40686.0,432951676.3,0.01,0.01,0.01,15.56,36.11,944092.0,683613.0,271265.0
20220119.0,6437.75,1378.5,0.168525,0.02825,0.06925,0.9025,42349.3,42559.4,41140.0,41666.0,408738707.9,0.01,0.0,0.01,15.18,33.99,940760.0,663454.0,270334.0
20220118.0,1903.0,313.8333333333333,-0.010700000000000015,0.10516666666666667,0.09133333333333334,0.8035,42202.1,42675.2,41279.0,42349.2,357390611.0,0.01,0.01,0.01,16.32,36.11,906852.0,654446.0,265057.0
20220117.0,670.6666666666666,98.33333333333333,0.46703333333333336,0.0,0.11066666666666668,0.8893333333333334,43072.6,43176.9,41500.0,42202.2,253486952.7,0.0,0.0,0.01,15.18,36.82,963405.0,638947.0,258141.0
20220116.0,7111.0,636.0,0.8555,0.0,0.331,0.669,43074.1,43477.0,42600.0,43072.6,198746399.5,0.0,0.01,0.0,14.04,34.7,768912.0,569876.0,216151.0
20220115.0,1227.6666666666667,109.66666666666667,0.4607333333333334,0.0,0.2996666666666667,0.7003333333333334,43067.3,43800.9,42564.1,43074.0,198239498.9,-0.01,0.0,0.01,9.4,27.0,819060.0,619262.0,234373.0
20220114.0,5372.5,915.5,0.4934,0.0,0.1625,0.8375,42569.6,43459.9,41713.0,43067.3,315076305.5,-0.01,0.0,-0.01,11.18,27.0,959705.0,688859.0,270882.0
20220113.0,1483.5,235.5,0.0,0.0,0.0,1.0,43917.0,44421.0,42311.0,42569.6,381607893.5,-0.01,-0.01,0.01,11.69,29.3,943218.0,695923.0,274515.0
20220112.0,248.5,33.5,0.5923499999999999,0.03,0.128,0.8420000000000001,42734.5,44330.1,42456.1,43916.9,379366703.3,0.01,0.0,0.01,12.71,30.45,958871.0,679922.0,271933.0
20220111.0,3610.25,511.0,0.280325,0.03025,0.1535,0.81625,41816.4,43101.5,41257.1,42734.6,404571339.2,0.01,0.01,0.01,13.47,29.3,973363.0,694475.0,277698.0
20220110.0,1573.0,217.8,0.3978,0.0,0.1792,0.8208,41877.6,42262.6,39651.0,41816.3,436052177.0,0.01,0.01,0.0,14.23,29.87,977953.0,672264.0,266743.0
