Time,Addresses
2021-09-01,682571
2021-08-31,656399
2021-08-30,591561
2021-08-29,474721
2021-08-28,538074
2021-08-27,619412
2021-08-26,625141
2021-08-25,636566
2021-08-24,637990
2021-08-23,648964
2021-08-22,474281
2021-08-21,555440
2021-08-20,676861
2021-08-19,613135
2021-08-18,604474
2021-08-17,618951
2021-08-16,628859
2021-08-15,474649
2021-08-14,520081
2021-08-13,639596
2021-08-12,605994
2021-08-11,631031
2021-08-10,626461
2021-08-09,611235
2021-08-08,482998
2021-08-07,529222
2021-08-06,636514
2021-08-05,614597
2021-08-04,587149
2021-08-03,593856
2021-08-02,583866
2021-08-01,474430
2021-07-31,532121
2021-07-30,629903
2021-07-29,620900
2021-07-28,605433
2021-07-27,600692
2021-07-26,644448
2021-07-25,440908
2021-07-24,497255
2021-07-23,581850
2021-07-22,571344
2021-07-21,571507
2021-07-20,571829
2021-07-19,552678
2021-07-18,422214
2021-07-17,458821
2021-07-16,552751
2021-07-15,572802
2021-07-14,564753
2021-07-13,542415
2021-07-12,560833
2021-07-11,436977
2021-07-10,485683
2021-07-09,569423
2021-07-08,580441
2021-07-07,568382
2021-07-06,579824
2021-07-05,547735
2021-07-04,467442
2021-07-03,583136
2021-07-02,532456
2021-07-01,609509
2021-06-30,567655
2021-06-29,566351
2021-06-28,580308
2021-06-27,379066
2021-06-26,490112
2021-06-25,564091
2021-06-24,594998
2021-06-23,598493
2021-06-22,550948
2021-06-21,549345
2021-06-20,441204
2021-06-19,489074
2021-06-18,567037
2021-06-17,601894
2021-06-16,651528
2021-06-15,677276
2021-06-14,624698
2021-06-13,480484
2021-06-12,584529
2021-06-11,616007
2021-06-10,679752
2021-06-09,581779
2021-06-08,656191
2021-06-07,615279
2021-06-06,467665
2021-06-05,537842
2021-06-04,632737
2021-06-03,692529
2021-06-02,663855
2021-06-01,615006
2021-05-31,599311
2021-05-30,476088
2021-05-29,537305
2021-05-28,616432
2021-05-27,602300
2021-05-26,641585
2021-05-25,640506
2021-05-24,643231
2021-05-23,555526
2021-05-22,603588
2021-05-21,695822
2021-05-20,694786
2021-05-19,734818
2021-05-18,619246
2021-05-17,684281
2021-05-16,604353
2021-05-15,646899
2021-05-14,752353
2021-05-13,806882
2021-05-12,852846
2021-05-11,854634
2021-05-10,824736
2021-05-09,690253
2021-05-08,744143
2021-05-07,804452
2021-05-06,843433
2021-05-05,808208
2021-05-04,772207
2021-05-03,746177
2021-05-02,587240
2021-05-01,677778
2021-04-30,738101
2021-04-29,703520
2021-04-28,728620
2021-04-27,748381
2021-04-26,677984
