Time,Compound,Close,Volume,FundingRate,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions,Close_mean,Close_std
2021-04-05 00:00:00,0.0,59116.2,174821106.7,0.03666666666666667,15.94,30.76,1229289,763702.0,289046.0,58074.43333333333,958.9746729348007
2021-04-06 00:00:00,0.4215,57988.3,173169186.8,0.06666666666666667,15.35,30.76,1180036,841579.0,309565.0,58125.30000000001,1031.0584416011877
2021-04-07 00:00:00,0.3854087301587302,55958.2,299996660.4,0.06333333333333334,14.76,27.88,1246138,860993.0,321319.0,58435.30000000001,599.2257587896526
2021-04-08 00:00:00,0.3854087301587302,58076.7,181817013.5,0.03666666666666667,14.17,25.96,1092604,761635.0,278534.0,57687.56666666667,1600.3347785168132
2021-04-09 00:00:00,0.7414,58131.6,204849717.1,0.02666666666666667,12.99,24.03,1222362,853581.0,324720.0,57341.06666666667,1198.4130353640594
2021-04-10 00:00:00,0.3854087301587302,59770.2,332014577.5,0.06,15.94,28.84,1163952,762965.0,299086.0,57388.833333333336,1239.2688583719384
2021-04-11 00:00:00,0.3854087301587302,60007.6,233158562.8,0.10333333333333333,19.08,39.65,1043812,653736.0,253449.0,58659.5,962.2860125747424
2021-04-12 00:00:00,0.0,59863.4,277430208.7,0.10333333333333333,19.81,35.93,1126723,762819.0,291369.0,59303.13333333334,1021.4976521413347
2021-04-13 00:00:00,0.3854087301587302,63578.7,430518557.6,0.08666666666666667,26.42,43.37,1178027,839652.0,310213.0,59880.4,119.60953137966806
2021-04-14 00:00:00,0.43072857142857146,62958.7,487298143.9,0.10666666666666667,29.35,50.8,1149773,854552.0,297494.0,61149.9,2104.6378524574507
2021-04-15 00:00:00,0.3854087301587302,63152.6,296178401.8,0.08666666666666667,24.22,48.33,1366494,952400.0,359440.0,62133.6,1990.3406818925712
2021-04-16 00:00:00,0.2202,61342.6,510423835.7,0.11333333333333333,26.42,73.11,933121,733666.0,219704.0,63230.0,317.1641057819313
2021-04-17 00:00:00,0.0,59995.2,328364887.7,0.07333333333333333,21.28,66.91,828375,611196.0,194580.0,62484.63333333333,993.7702970656176
2021-04-18 00:00:00,0.3854087301587302,56150.6,637797282.4,0.07666666666666667,24.12,47.09,1057891,754058.0,274735.0,61496.799999999996,1584.338006864912
2021-04-19 00:00:00,0.3854087301587302,55618.8,432634348.9,0.01,19.57,40.81,884672,674744.0,208413.0,59162.799999999996,2694.231489682534
2021-04-20 00:00:00,0.3854087301587302,56427.8,480164200.6,0.01,17.29,43.16,1126908,829989.0,279977.0,57254.86666666667,2388.047925258311
2021-04-21 00:00:00,0.3854087301587302,53793.6,345339357.8,0.01,14.11,36.88,918079,719498.0,226021.0,56065.73333333334,411.1228688976914
2021-04-22 00:00:00,0.3854087301587302,51696.4,475394174.2,0.01,16.38,37.67,1114976,757844.0,274610.0,55280.06666666667,1349.3730445398594
2021-04-23 00:00:00,0.3854087301587302,51102.7,441295812.6,0.023333333333333334,25.49,44.73,1114180,794322.0,295731.0,53972.600000000006,2370.7735530829586
2021-04-24 00:00:00,0.3854087301587302,50033.0,241336360.9,0.016666666666666666,17.75,29.82,1125210,695216.0,290690.0,52197.56666666667,1413.7226472441948
2021-04-25 00:00:00,0.3854087301587302,49086.9,237153315.2,0.02666666666666667,18.36,34.7,1026103,585806.0,241041.0,50944.03333333333,842.9746279285466
2021-04-26 00:00:00,0.3854087301587302,54000.2,353727728.3,0.01,19.98,33.78,943203,677984.0,240687.0,50074.200000000004,1008.531353006947
2021-04-27 00:00:00,0.3854087301587302,55014.3,237020455.9,0.01,17.82,33.78,1092574,748381.0,298109.0,51040.03333333333,2606.8594751791366
2021-04-28 00:00:00,0.9442,54833.2,262912695.6,0.01,16.74,32.87,1113474,728620.0,277126.0,52700.46666666667,3170.2519999727265
2021-04-29 00:00:00,0.71065,53558.4,234153663.4,0.01,15.12,30.13,986056,703520.0,259465.0,54615.9,540.8457913282923
2021-04-30 00:00:00,0.3854087301587302,57697.3,277531927.9,0.01,14.58,31.96,1122022,738101.0,289389.0,54468.63333333334,793.4688672726081
2021-05-01 00:00:00,0.34,57794.7,210179438.2,0.01,14.58,33.78,1040203,677778.0,262991.0,55362.966666666674,2119.6964035754663
