Time,Open,Close,High,Low,Amount,Volume
2022-01-18,42202.1,42349.2,42675.2,41279,8538.562404,357390611
2022-01-17,43072.6,42202.2,43176.9,41500,5975.488729,253486952.7
2022-01-16,43074.1,43072.6,43477,42600,4615.24284,198746399.5
2022-01-15,43067.3,43074,43800.9,42564.1,4595.81666,198239498.9
2022-01-14,42569.6,43067.3,43459.9,41713,7377.521045,315076305.5
2022-01-13,43917,42569.6,44421,42311,8793.761797,381607893.5
2022-01-12,42734.5,43916.9,44330.1,42456.1,8749.285216,379366703.3
2022-01-11,41816.4,42734.6,43101.5,41257.1,9584.542814,404571339.2
2022-01-10,41877.6,41816.3,42262.6,39651,10553.74349,436052177
2022-01-09,41680.7,41877.6,42791.3,41214.9,7635.743032,320295181.7
2022-01-08,41561.5,41680.5,42319.7,40501,9774.669208,405771071.4
2022-01-07,43086.1,41561.4,43149.3,40600,13472.49854,564380542.4
2022-01-06,43456.2,43086.1,43817.3,42420,9798.801802,422214413.2
2022-01-05,45833,43456.8,47052.4,42500,14203.26492,642545805.9
2022-01-04,46443.4,45833,47529,45555,8422.083278,391342323.4
2022-01-03,47291.7,46443.4,47577,45700,6995.618632,326687252.8
2022-01-02,47728.6,47291.8,47990,46656.1,4870.849832,230185198.6
2022-01-01,46216.4,47728.6,47936.7,46210.4,5184.642089,244429577.2
2021-12-31,47122.5,46216.4,48563.6,45668.7,8930.085693,421424853.8
2021-12-30,46466.4,47122.4,47906.9,45932.2,7545.196212,355274219.9
2021-12-29,47543.8,46466.4,48139.5,46039.5,8147.056517,385992871.4
2021-12-28,50715.6,47543.8,50715.6,47289.6,11273.73203,549598324.4
2021-12-27,50771.5,50715.7,52072.2,50446.5,6625.722376,338802264.2
2021-12-26,50405.9,50771.5,51279.7,49449.8,5914.34971,296678249
2021-12-25,50811,50405.9,51139.9,50180,4674.18393,237352986.8
2021-12-24,50836.6,50806.2,51821,50401.5,7094.777881,362202620.3
2021-12-23,48582.2,50836.6,51369.3,48011.5,9284.842036,457414041.4
2021-12-22,48891.5,48582.3,49564,48421.1,7950.280493,389366494.2
2021-12-21,46898.1,48891.4,49322,46655.6,7389.398094,357318509
2021-12-20,46678.5,46898.1,47525.7,45562.7,9758.883396,452867076.1
2021-12-19,46825.3,46678.5,48280,46410,7785.905149,367966986.6
2021-12-18,46146.4,46825.3,47350,45500.1,5518.13231,256921386.3
2021-12-17,47624.7,46146.3,48001,45425.6,9198.665395,430522904.6
2021-12-16,48873.4,47624.6,49435.1,47512,8053.272198,390317185.2
2021-12-15,48350.8,48873.4,49540,46539.9,9700.984259,467022214.6
2021-12-14,46695.8,48355.2,48665.4,46285,7935.180144,374822293.2
2021-12-13,50055.1,46695.8,50210.1,45714.5,10122.0198,484063976.8
2021-12-12,49392,50055.1,50774.9,48650,5656.184392,280893046
2021-12-11,47131.6,49391.6,49485,46714.6,6869.043196,332513353.3
2021-12-10,47545.1,47135.7,50100,46852.7,10888.00159,525084431.2
2021-12-09,50472.2,47548.6,50800,47317,9994.400613,487901273.5
2021-12-08,50582.3,50467.3,51203.6,48600,8998.602314,451349974.8
2021-12-07,50442.4,50582.3,51930.7,50026.6,8839.337995,450594771.9
2021-12-06,49398.5,50442.4,50900,47120.3,12838.49072,626157750.5
2021-12-05,49166.5,49398.1,49691.2,47726,9988.97118,489318419.3
2021-12-04,53611.6,49166.5,53855,40589,16833.46633,813911345.4
2021-12-03,56484.7,53630.4,57600,51367,7908.195572,434955898.6
2021-12-02,57187.5,56484.6,57372.8,55752.5,5966.009512,337692238.2
2021-12-01,56937.8,57187.5,59038.7,56450,7271.293808,417797646.8
