Favorites,Retweets,Compound,Bitcoin_SVI,Volume,Funding Rate 1600,No. of Unique Addresses,Time,Transactions,Funding Rate 0800,No. of Active Addresses,Funding Rate 0000,Close,Cryptocurrency_SVI
-0.697091745649045,-0.5708658002296518,-1.2454146923994436,-0.6384177015208509,51588162.79,0.01,593862.0,20200514.0,268750.0,0.01,880861.0,0.01,9790.7,3.75
-0.5866207939894906,-0.2723509347942915,-3.077892057515152,-0.7393637956557337,54085114.49,0.0,644507.0,20200515.0,310642.0,0.01,895670.0,0.01,9318.4,3.61
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.8153232328265368,22091623.65,0.01,589910.0,20200516.0,296555.0,0.01,880534.0,0.01,9382.4,3.82
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7113787398559642,21760221.3,0.0,495954.0,20200517.0,236808.0,0.01,763444.0,0.01,9679.3,4.34
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7113787398559642,33246175.59,0.01,602631.0,20200518.0,273723.0,0.01,970423.0,0.0,9731.2,4.1
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7693477840126297,30215416.8,0.01,581379.0,20200519.0,274897.0,0.01,890493.0,-0.01,9777.2,3.86
-0.7030452699899791,-0.5216986459226512,0.17525922083850737,-0.7693477840126297,28786425.23,0.01,604523.0,20200520.0,280037.0,0.01,865708.0,0.01,9512.5,3.86
-0.688492210489918,-0.6024732565698664,-0.7524984393942491,-0.725371267755849,46570300.92,0.01,624412.0,20200521.0,298483.0,-0.01,928630.0,0.01,9064.8,3.78
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7833403119125145,23049114.42,0.0,591400.0,20200522.0,278784.0,-0.01,797526.0,0.01,9168.0,3.71
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.8553018839690646,15010214.06,0.0,558174.0,20200523.0,269230.0,0.0,848702.0,0.01,9177.3,3.78
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7833403119125145,27066991.11,0.01,458476.0,20200524.0,214530.0,0.01,807939.0,0.01,8716.0,4.34
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7033830096274587,27301546.8,0.0,551378.0,20200525.0,265875.0,0.01,828919.0,0.01,8899.2,4.34
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7513573909984921,19195097.12,0.01,605213.0,20200526.0,295782.0,0.0,852839.0,0.0,8840.0,4.17
0.37851165194637626,0.057771386981283444,-1.2454146923994436,-0.7673488514555034,21361348.93,0.01,603823.0,20200527.0,292927.0,0.0,913075.0,0.0,9201.9,4.0
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7833403119125145,30533003.16,-0.01,617362.0,20200528.0,299910.0,-0.01,866559.0,-0.01,9577.2,4.08
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7993317723695257,20415841.07,0.0,591013.0,20200529.0,280960.0,0.0,852420.0,0.0,9426.1,3.91
